value,date
2,2023-09-01T13:46:58.821Z
2,2023-09-01T13:48:58.823Z
4,2023-09-01T13:49:58.824Z
4,2023-09-01T13:50:58.823Z
7,2023-09-01T13:51:58.824Z
-40,2023-09-01T13:53:09.054Z
3,2023-09-02T12:00:18.331Z
11,2023-09-03T16:15:44.011Z
-2,2023-09-03T16:16:44.037Z
-4,2023-09-03T16:56:45.600Z
6,2023-09-03T18:36:53.557Z
-5,2023-09-03T18:38:53.592Z
-5,2023-09-03T18:40:53.627Z
2,2023-09-03T18:48:56.528Z
3,2023-09-03T18:49:56.534Z
4,2023-09-03T18:50:56.559Z
3,2023-09-03T18:52:56.604Z
4,2023-09-04T06:06:16.333Z
